sample_name,sur_bot,sample_nc,date,lat,lon,copies_ul,copies_l_seawater,dolphin_sight,depth,temp,salinity,do
wNC1,NA,nc,2025/01/17,22.28286,113.86405,2.195,NA,no,NA,NA,NA,NA
wNC4,NA,nc,2025/01/17,22.1904,113.86969,1.557,NA,no,NA,NA,NA,NA
PCR_NC,NA,nc,NA,NA,NA,0,NA,no,NA,NA,NA,NA
wP01-S,surface,sample,2025/01/17,22.28286,113.86405,2.871,287.1,no,0.2,17.3,31.895,8.735
wP02-S,surface,sample,2025/01/17,22.27828,113.86397,2.785,278.5,yes,0.2,17.4,31.96,8.749
wP03-S,surface,sample,2025/01/17,22.26444,113.85586,0,0,no,0.2,17.3,31.566,8.769
wP04-S,surface,sample,2025/01/17,22.25582,113.84904,3.036,303.6,no,0.2,17.5,32.013,9.356
wP05-S,surface,sample,2025/01/17,22.247,113.8457,4.428,442.8,no,0.2,16.8,32.058,9.543
wP06-S,surface,sample,2025/01/17,22.2382,113.84277,1.857,185.7,no,0.2,17.6,31.831,9.045
wP07-S,surface,sample,2025/01/17,22.19473,113.84996,2.848,284.8,no,0.2,17.8,32.01,9.056
wP08-S,surface,sample,2025/01/17,22.20366,113.88347,1.382,138.2,no,0.2,18.4,31.961,9.014
wP09-S,surface,sample,2025/01/17,22.20491,113.89563,2.797,279.7,no,0.2,18.3,32.014,9.472
wP10-S,surface,sample,2025/01/17,22.20521,113.91858,0,0,no,0.2,18,31.997,9.365
wP11-S,surface,sample,2025/01/17,22.19249,113.91063,4.102,410.2,no,0.2,18.4,32.046,9.637
wP12-S,surface,sample,2025/01/17,22.19155,113.89371,1.506,150.6,no,0.2,18.2,31.961,8.926
wP13-S,surface,sample,2025/01/17,22.19126,113.88386,1.393,139.3,no,0.2,18.3,31.945,9.339
wP14-S,surface,sample,2025/01/17,22.1904,113.86969,2.658,265.8,no,0.2,17.7,32.125,8.79
wP01-B,bottom,sample,2025/01/17,22.28286,113.86405,2.156,215.6,no,7.75,17.3,31.879,8.286
wP02-B,bottom,sample,2025/01/17,22.27828,113.86397,9.001,900.1,yes,9.04,17.4,31.895,8.253
wP03-B,bottom,sample,2025/01/17,22.26444,113.85586,1.911,191.1,no,10.24,17.4,31.964,8.482
wP04-B,bottom,sample,2025/01/17,22.25582,113.84904,0,0,no,11.33,17.4,32.017,8.502
wP05-B,bottom,sample,2025/01/17,22.247,113.8457,5.455,545.5,no,8.35,17.4,32.01,8.388
wP06-B,bottom,sample,2025/01/17,22.2382,113.84277,7.441,744.1,no,8.35,17.4,32.007,8.422
wP07-B,bottom,sample,2025/01/17,22.19473,113.84996,0,0,no,11.73,17.6,32.073,8.966
wP08-B,bottom,sample,2025/01/17,22.20366,113.88347,4.253,425.3,no,9.04,17.5,32.08,9.05
wP09-B,bottom,sample,2025/01/17,22.20491,113.89563,0,0,no,10.43,17.6,32.065,9.241
wP10-B,bottom,sample,2025/01/17,22.20521,113.91858,3.44,344,no,11.23,17.6,32.085,9.431
wP11-B,bottom,sample,2025/01/17,22.19249,113.91063,5.356,535.6,no,8.94,17.5,32.045,8.687
wP12-B,bottom,sample,2025/01/17,22.19155,113.89371,1.111,111.1,no,10.43,17.6,32.06,8.819
wP13-B,bottom,sample,2025/01/17,22.19126,113.88386,5.114,511.4,no,9.84,17.5,32.08,8.764
wP14-B,bottom,sample,2025/01/17,22.1904,113.86969,0,0,no,9.74,17.5,32.08,8.48
