location,time,longitude,latitude,pressure_dbar,temperature,salinity_permil,conductivity_mS_cm,EC_uS_cm,density_kg_m3,sigmaT,chl.flu_ppb,chl.a_ppb,turbidity_FTU,DO_perc,DO_mg_L,DO_umol_L,battery_V,depth
sP12,2024/07/29 13:44,113.86179,22.273257,9.2,26.698,27.755,44.596,42990.529,1017.405,17.365,0.8,0.8,23.98,41.98,2.87,89.686,8.04,9.142361501
sP12,2024/07/29 13:44,113.86179,22.273257,9.3,26.697,27.755,44.596,42990.818,1017.406,17.365,0.69,0.69,23.66,41.96,2.868,89.644,8.04,9.241732754
sP12,2024/07/29 13:44,113.86179,22.273257,9.4,26.697,27.759,44.602,42996.278,1017.409,17.368,0.66,0.66,24.96,41.93,2.866,89.576,8.04,9.341103958
sP12,2024/07/29 13:44,113.86179,22.273257,9.5,26.698,27.759,44.603,42996.001,1017.409,17.368,2.4,2.4,960.96,41.86,2.862,89.438,8.03,9.440475115
sP12,2024/07/29 13:44,113.86179,22.273257,9.6,26.701,27.72,44.548,42941.118,1017.379,17.337,1.99,1.99,1291.98,41.49,2.836,88.642,8.05,9.539846223
sP13,2024/07/29 13:53,113.86397,22.27828,0,28.441,17.838,30.924,28747.264,1009.409,9.409,1.42,1.42,1.57,93.3,6.553,204.797,8.1,0
sP13,2024/07/29 13:53,113.86397,22.27828,0.1,28.454,17.714,30.735,28564.484,1009.313,9.313,1.32,1.32,1.42,90.23,6.337,198.057,8.08,0.099375688
sP13,2024/07/29 13:53,113.86397,22.27828,0.2,28.458,17.809,30.887,28703.196,1009.383,9.382,1.51,1.51,1.72,89.3,6.268,195.874,8.08,0.198751328
sP13,2024/07/29 13:53,113.86397,22.27828,0.3,28.457,17.737,30.773,28597.769,1009.33,9.329,1.49,1.49,1.71,88.68,6.226,194.583,8.08,0.29812692
sP13,2024/07/29 13:53,113.86397,22.27828,0.4,28.457,17.783,30.846,28666.114,1009.365,9.364,1.54,1.54,1.65,88.15,6.187,193.357,8.08,0.397502464
sP13,2024/07/29 13:53,113.86397,22.27828,0.5,28.458,17.707,30.727,28554.429,1009.309,9.307,1.44,1.44,1.75,87.63,6.152,192.274,8.06,0.496877959
sP13,2024/07/29 13:53,113.86397,22.27828,0.6,28.457,17.776,30.835,28656.073,1009.361,9.359,1.52,1.52,2.05,87.21,6.122,191.316,8.04,0.596253407
sP13,2024/07/29 13:53,113.86397,22.27828,0.7,28.417,18.329,31.681,29466.133,1009.786,9.783,1.43,1.43,1.47,86.32,6.044,188.876,8.03,0.695628805
sP13,2024/07/29 13:53,113.86397,22.27828,0.8,28.362,18.968,32.648,30399.881,1010.28,10.276,1.44,1.44,1.51,85.05,5.94,185.629,8.03,0.795004156
sP13,2024/07/29 13:53,113.86397,22.27828,0.9,28.352,19.013,32.713,30465.811,1010.317,10.313,1.33,1.33,1.44,84.63,5.909,184.682,8.02,0.894379459
sP13,2024/07/29 13:53,113.86397,22.27828,1,28.345,19.039,32.749,30503.771,1010.339,10.334,1.3,1.3,1.35,84.28,5.885,183.926,8.02,0.993754713
sP13,2024/07/29 13:53,113.86397,22.27828,1.1,28.326,19.509,33.47,31188.198,1010.696,10.692,1.46,1.46,1.5,84.17,5.863,183.238,8.02,1.093129919
sP13,2024/07/29 13:53,113.86397,22.27828,1.2,28.31,19.543,33.513,31237.745,1010.727,10.721,1.3,1.3,1.72,84.03,5.854,182.957,8.02,1.192505077
sP13,2024/07/29 13:53,113.86397,22.27828,1.3,28.294,19.837,33.959,31664.691,1010.952,10.946,1.32,1.32,1.66,83.79,5.83,182.186,8.02,1.291880187
sP13,2024/07/29 13:53,113.86397,22.27828,1.4,28.281,19.929,34.093,31797.346,1011.024,11.018,1.42,1.42,2.03,83.61,5.815,181.746,8.02,1.391255248
sP13,2024/07/29 13:53,113.86397,22.27828,1.5,28.277,19.933,34.098,31804.523,1011.03,11.023,1.51,1.51,1.53,83.43,5.803,181.352,8.01,1.490630262
sP13,2024/07/29 13:53,113.86397,22.27828,1.6,28.269,20.114,34.372,32065.898,1011.167,11.16,1.16,1.16,1.51,83.02,5.769,180.294,8.02,1.590005227
sP13,2024/07/29 13:53,113.86397,22.27828,1.7,28.23,20.513,34.963,32643.384,1011.477,11.47,1.1,1.1,1.25,81.51,5.656,176.775,8.01,1.689380143
sP13,2024/07/29 13:53,113.86397,22.27828,1.8,28.228,20.514,34.964,32645.8,1011.48,11.472,1.49,1.49,1.5,81.33,5.644,176.384,8.01,1.788755012
sP13,2024/07/29 13:53,113.86397,22.27828,1.9,28.227,20.524,34.978,32659.043,1011.487,11.479,1.3,1.3,1.47,81.25,5.638,176.185,8.01,1.888129832
sP13,2024/07/29 13:53,113.86397,22.27828,2,28.226,20.551,35.019,32698.446,1011.509,11.5,1.13,1.13,1.35,81.03,5.622,175.686,8.01,1.987504605
sP13,2024/07/29 13:53,113.86397,22.27828,2.1,28.224,20.564,35.038,32716.971,1011.519,11.51,1.17,1.17,1.51,80.75,5.602,175.075,8.01,2.086879329
sP13,2024/07/29 13:53,113.86397,22.27828,2.2,28.223,20.575,35.054,32733.259,1011.528,11.519,1.22,1.22,1.65,80.71,5.599,174.986,8.02,2.186254004
sP13,2024/07/29 13:53,113.86397,22.27828,2.3,28.223,20.582,35.066,32743.992,1011.534,11.524,1.19,1.19,1.42,80.54,5.587,174.619,8.01,2.285628632
sP13,2024/07/29 13:53,113.86397,22.27828,2.4,28.221,20.584,35.066,32746.007,1011.536,11.526,1.11,1.11,1.5,80.59,5.591,174.723,8.02,2.385003211
sP13,2024/07/29 13:53,113.86397,22.27828,2.5,28.219,20.591,35.076,32756.205,1011.542,11.531,1.08,1.08,1.28,80.23,5.566,173.939,8.02,2.484377742
sP13,2024/07/29 13:53,113.86397,22.27828,2.6,28.22,20.593,35.08,32759.806,1011.545,11.533,1.12,1.12,1.44,80.19,5.563,173.852,8.02,2.583752225
sP13,2024/07/29 13:53,113.86397,22.27828,2.7,28.219,20.601,35.093,32771.682,1011.551,11.54,1.47,1.47,1.48,80.19,5.563,173.846,8.02,2.68312666
sP13,2024/07/29 13:53,113.86397,22.27828,2.8,28.217,20.614,35.11,32789.593,1011.562,11.549,1.35,1.35,1.37,80.17,5.561,173.8,8.01,2.782501046
sP13,2024/07/29 13:53,113.86397,22.27828,2.9,28.217,20.617,35.116,32794.656,1011.565,11.552,1.41,1.41,1.32,80.11,5.557,173.673,8,2.881875385
sP13,2024/07/29 13:53,113.86397,22.27828,3,28.217,20.622,35.124,32802.352,1011.569,11.556,1.18,1.18,1.32,80.1,5.556,173.642,8.01,2.981249675
sP13,2024/07/29 13:53,113.86397,22.27828,3.1,28.215,20.655,35.172,32848.809,1011.594,11.581,1.33,1.33,1.37,80.09,5.554,173.579,8.01,3.080623916
sP13,2024/07/29 13:53,113.86397,22.27828,3.2,28.214,20.667,35.191,32867.15,1011.604,11.59,1.23,1.23,1.51,80.04,5.551,173.469,8.01,3.17999811
sP13,2024/07/29 13:53,113.86397,22.27828,3.3,28.214,20.675,35.203,32877.725,1011.61,11.596,1.13,1.13,1.41,79.98,5.547,173.346,8.02,3.279372255
sP13,2024/07/29 13:53,113.86397,22.27828,3.4,28.213,20.684,35.216,32890.921,1011.618,11.603,1.23,1.23,1.41,79.87,5.538,173.077,8,3.378746353
sP13,2024/07/29 13:53,113.86397,22.27828,3.5,28.212,20.682,35.212,32887.812,1011.617,11.602,1.37,1.37,1.28,79.91,5.541,173.171,8.01,3.478120402
sP13,2024/07/29 13:53,113.86397,22.27828,3.6,28.212,20.716,35.265,32938.091,1011.643,11.628,1.12,1.12,1.39,79.86,5.537,173.04,8.01,3.577494402
sP13,2024/07/29 13:53,113.86397,22.27828,3.7,28.209,20.751,35.317,32988.325,1011.671,11.655,1.15,1.15,1.53,79.83,5.534,172.951,8.02,3.676868355
sP13,2024/07/29 13:53,113.86397,22.27828,3.8,28.205,20.89,35.528,33187.591,1011.776,11.759,1.08,1.08,1.42,79.78,5.527,172.726,8.02,3.776242259
sP13,2024/07/29 13:53,113.86397,22.27828,3.9,28.185,21.058,35.774,33431.138,1011.908,11.891,1.23,1.23,1.32,79.77,5.522,172.568,8.01,3.875616115
sP13,2024/07/29 13:53,113.86397,22.27828,4,28.167,21.095,35.818,33485.051,1011.942,11.924,1.06,1.06,1.48,79.55,5.507,172.108,8.02,3.974989923
sP13,2024/07/29 13:53,113.86397,22.27828,4.1,28.164,21.088,35.805,33474.545,1011.938,11.92,1.39,1.39,1.44,79.15,5.481,171.288,8.01,4.074363683
sP13,2024/07/29 13:53,113.86397,22.27828,4.2,28.155,21.154,35.9,33569.683,1011.99,11.972,1.16,1.16,1.38,78.96,5.467,170.842,8.01,4.173737394
sP13,2024/07/29 13:53,113.86397,22.27828,4.3,28.15,21.158,35.903,33576.33,1011.995,11.977,1.19,1.19,1.57,78.84,5.458,170.576,8.01,4.273111058
sP13,2024/07/29 13:53,113.86397,22.27828,4.4,28.148,21.17,35.921,33594.127,1012.006,11.986,1.1,1.1,1.38,78.56,5.439,169.971,8.02,4.372484673
sP13,2024/07/29 13:53,113.86397,22.27828,4.5,28.146,21.195,35.957,33629.564,1012.025,12.005,1.24,1.24,1.32,78.36,5.424,169.52,8.02,4.47185824
sP13,2024/07/29 13:53,113.86397,22.27828,4.6,28.141,21.307,36.126,33791.167,1012.111,12.091,1.15,1.15,1.37,78.15,5.406,168.959,8.01,4.571231758
sP13,2024/07/29 13:53,113.86397,22.27828,4.7,28.13,21.42,36.291,33952.978,1012.199,12.178,1.11,1.11,1.47,77.98,5.393,168.528,8.02,4.670605229
sP13,2024/07/29 13:53,113.86397,22.27828,4.8,28.122,21.458,36.344,34007.79,1012.23,12.209,1.19,1.19,1.45,77.98,5.392,168.52,8,4.769978651
sP13,2024/07/29 13:53,113.86397,22.27828,4.9,28.115,21.469,36.357,34024.741,1012.241,12.22,1.22,1.22,1.48,77.9,5.386,168.331,8.02,4.869352025
sP13,2024/07/29 13:53,113.86397,22.27828,5,28.113,21.464,36.348,34017.693,1012.238,12.217,1.14,1.14,1.59,77.58,5.364,167.648,8.01,4.968725351
sP13,2024/07/29 13:53,113.86397,22.27828,5.1,28.115,21.467,36.354,34022.298,1012.241,12.219,1.1,1.1,1.84,77.22,5.339,166.863,8.02,5.068098628
sP13,2024/07/29 13:53,113.86397,22.27828,5.2,28.113,21.469,36.355,34024.225,1012.243,12.22,1.12,1.12,1.5,77.04,5.327,166.475,8,5.167471858
sP13,2024/07/29 13:53,113.86397,22.27828,5.3,28.111,21.475,36.362,34032.89,1012.248,12.225,1.25,1.25,1.44,76.85,5.314,166.08,8.01,5.266845039
sP13,2024/07/29 13:53,113.86397,22.27828,5.4,28.107,21.501,36.401,34071.501,1012.27,12.246,1.19,1.19,1.47,76.7,5.303,165.741,8.01,5.366218172
sP13,2024/07/29 13:53,113.86397,22.27828,5.5,28.098,21.508,36.405,34081.708,1012.278,12.254,1.12,1.12,1.34,76.46,5.288,165.246,8.01,5.465591256
sP13,2024/07/29 13:53,113.86397,22.27828,5.6,28.098,21.512,36.411,34087.498,1012.282,12.257,1.05,1.05,1.48,76.36,5.28,165.007,8.02,5.564964293
sP13,2024/07/29 13:53,113.86397,22.27828,5.7,28.095,21.514,36.412,34090.327,1012.284,12.26,1.08,1.08,1.47,76.14,5.265,164.541,8.03,5.664337281
sP13,2024/07/29 13:53,113.86397,22.27828,5.8,28.094,21.52,36.421,34099.349,1012.29,12.265,1.4,1.4,1.57,76.18,5.268,164.635,8,5.763710221
sP13,2024/07/29 13:53,113.86397,22.27828,5.9,28.091,21.523,36.422,34103.543,1012.293,12.268,1.16,1.16,1.6,76.15,5.266,164.564,8.01,5.863083113
sP13,2024/07/29 13:53,113.86397,22.27828,6,28.087,21.541,36.448,34130.318,1012.309,12.283,1.4,1.4,1.62,76.08,5.26,164.394,8.03,5.962455957
sP13,2024/07/29 13:53,113.86397,22.27828,6.1,28.074,21.609,36.542,34227.366,1012.364,12.337,1.23,1.23,2.02,76.01,5.255,164.221,8.01,6.061828752
sP13,2024/07/29 13:53,113.86397,22.27828,6.2,28.069,21.615,36.549,34237.047,1012.37,12.343,1.1,1.1,2.14,75.92,5.249,164.048,8.02,6.1612015
sP13,2024/07/29 13:53,113.86397,22.27828,6.3,28.061,21.717,36.699,34383.707,1012.45,12.422,1.05,1.05,1.72,75.9,5.245,163.921,8.03,6.260574199
sP13,2024/07/29 13:53,113.86397,22.27828,6.4,28.027,21.838,36.859,34557.692,1012.55,12.522,1.13,1.13,1.65,75.71,5.232,163.499,8.01,6.359946849
sP13,2024/07/29 13:53,113.86397,22.27828,6.5,28.013,21.874,36.905,34611.017,1012.583,12.554,1.02,1.02,1.41,75.02,5.183,161.986,8.01,6.459319452
sP13,2024/07/29 13:53,113.86397,22.27828,6.6,28.008,21.911,36.957,34663.585,1012.612,12.583,1.09,1.09,1.65,74.58,5.153,161.048,8.02,6.558692007
sP13,2024/07/29 13:53,113.86397,22.27828,6.7,27.999,21.99,37.071,34776.638,1012.674,12.645,0.99,0.99,1.74,74.51,5.147,160.863,8,6.658064513
sP13,2024/07/29 13:53,113.86397,22.27828,6.8,27.993,22.032,37.132,34838.034,1012.708,12.678,0.95,0.95,1.93,74.39,5.138,160.569,8.02,6.757436971
sP13,2024/07/29 13:53,113.86397,22.27828,6.9,27.973,22.221,37.406,35109.365,1012.856,12.826,0.92,0.92,1.88,74.15,5.117,159.921,8,6.856809381
sP13,2024/07/29 13:53,113.86397,22.27828,7,27.95,22.37,37.615,35322.679,1012.975,12.944,0.82,0.82,1.9,73.82,5.092,159.13,8.02,6.956181742
sP13,2024/07/29 13:53,113.86397,22.27828,7.1,27.922,22.709,38.109,35807.651,1013.237,13.206,0.91,0.91,2.21,73.52,5.064,158.272,8.03,7.055554055
sP13,2024/07/29 13:53,113.86397,22.27828,7.2,27.89,23.334,39.032,36698.131,1013.715,13.683,0.87,0.87,2.79,73.27,5.032,157.251,8.01,7.154926321
sP13,2024/07/29 13:53,113.86397,22.27828,7.3,27.758,23.94,39.844,37564.943,1014.21,14.178,0.74,0.74,3.13,72.65,4.984,155.773,8.01,7.254298538
sP13,2024/07/29 13:53,113.86397,22.27828,7.4,27.709,24.055,39.979,37730.079,1014.311,14.279,0.66,0.66,3.28,72.27,4.96,154.995,8,7.353670706
sP13,2024/07/29 13:53,113.86397,22.27828,7.5,27.634,24.208,40.151,37951.678,1014.45,14.417,0.69,0.69,3.1,70.34,4.828,150.897,8.02,7.453042827
sP13,2024/07/29 13:53,113.86397,22.27828,7.6,27.598,24.252,40.19,38016.783,1014.494,14.461,0.77,0.77,3.22,66.72,4.58,143.139,8.02,7.552414899
sP13,2024/07/29 13:53,113.86397,22.27828,7.7,27.564,24.889,41.111,38916.008,1014.981,14.948,0.69,0.69,4.16,65.73,4.501,140.666,8.01,7.651786923
sP13,2024/07/29 13:53,113.86397,22.27828,7.8,27.465,25.393,41.781,39631.557,1015.39,15.356,0.64,0.64,5.39,64.75,4.429,138.422,8.02,7.751158899
sP13,2024/07/29 13:53,113.86397,22.27828,7.9,27.364,25.528,41.9,39828.169,1015.523,15.489,0.71,0.71,5.17,63.1,4.319,134.985,8.01,7.850530827
sP13,2024/07/29 13:53,113.86397,22.27828,8,27.348,25.577,41.96,39899.135,1015.566,15.531,0.66,0.66,4.9,61.92,4.238,132.447,8.02,7.949902707
sP13,2024/07/29 13:53,113.86397,22.27828,8.1,27.337,25.6,41.985,39932.538,1015.587,15.552,0.84,0.84,4.83,60.85,4.165,130.161,8.02,8.049274538
sP13,2024/07/29 13:53,113.86397,22.27828,8.2,27.327,25.633,42.026,39978.716,1015.615,15.579,0.65,0.65,5.78,59.24,4.055,126.725,8.02,8.148646321
sP13,2024/07/29 13:53,113.86397,22.27828,8.3,27.312,25.705,42.12,40081.198,1015.674,15.638,0.81,0.81,9.87,58.31,3.991,124.714,8.01,8.248018056
sP13,2024/07/29 13:53,113.86397,22.27828,8.4,27.292,25.743,42.16,40136.372,1015.709,15.673,0.69,0.69,13.12,57.48,3.934,122.958,8.01,8.347389743
sP13,2024/07/29 13:53,113.86397,22.27828,8.5,27.282,25.747,42.158,40142.518,1015.716,15.679,0.93,0.93,84.47,56.09,3.839,119.989,8.02,8.446761381
sP13,2024/07/29 13:53,113.86397,22.27828,8.6,27.295,25.738,42.155,40129.113,1015.705,15.668,1.79,1.79,165.1,52.86,3.618,113.08,8.03,8.546132971
sP14,2024/07/29 14:01,113.86405,22.282857,0,26.179,0.031,0.054,52.273,996.761,-3.239,-0.23,-0.23,0.04,99.67,8.061,251.919,8.08,0
sP14,2024/07/29 14:01,113.86405,22.282857,0.1,28.364,17.804,30.825,28701.063,1009.408,9.408,1.61,1.61,1.45,93.81,6.6,206.265,8.02,0.099375688
sP14,2024/07/29 14:01,113.86405,22.282857,0.2,28.37,17.818,30.85,28720.713,1009.417,9.416,1.55,1.55,1.5,92.05,6.473,202.309,8.02,0.198751328
sP14,2024/07/29 14:01,113.86405,22.282857,0.3,28.378,17.891,30.969,28826.754,1009.469,9.468,1.46,1.46,1.51,90.34,6.349,198.413,8.01,0.29812692
sP14,2024/07/29 14:01,113.86405,22.282857,0.4,28.378,17.952,31.065,28916.532,1009.516,9.514,1.49,1.49,1.57,89.7,6.301,196.907,8.02,0.397502464
sP14,2024/07/29 14:01,113.86405,22.282857,0.5,28.376,18.376,31.731,29536.594,1009.833,9.83,1.44,1.44,1.65,89.1,6.243,195.097,8,0.496877959
sP14,2024/07/29 14:01,113.86405,22.282857,0.6,28.366,18.657,32.165,29947.049,1010.046,10.043,1.35,1.35,1.39,88.42,6.186,193.324,8.02,0.596253407
sP14,2024/07/29 14:01,113.86405,22.282857,0.7,28.291,19.535,33.488,31226.951,1010.725,10.721,1.3,1.3,1.25,86.9,6.057,189.291,8.02,0.695628805
sP14,2024/07/29 14:01,113.86405,22.282857,0.8,28.267,19.716,33.754,31490.341,1010.867,10.864,1.34,1.34,1.35,85.1,5.929,185.292,8.01,0.795004156
sP14,2024/07/29 14:01,113.86405,22.282857,0.9,28.26,19.781,33.85,31584.366,1010.918,10.914,1.34,1.34,1.31,84.68,5.898,184.336,8.01,0.894379459
sP14,2024/07/29 14:01,113.86405,22.282857,1,28.215,19.871,33.961,31717.415,1011,10.996,1.29,1.29,1.88,84.38,5.878,183.708,8.01,0.993754713
sP14,2024/07/29 14:01,113.86405,22.282857,1.1,28.2,19.995,34.143,31897.036,1011.098,11.093,1.36,1.36,1.34,84.49,5.883,183.84,8.01,1.093129919
sP14,2024/07/29 14:01,113.86405,22.282857,1.2,28.194,20.046,34.218,31970.992,1011.138,11.133,1.34,1.34,2.03,84.44,5.878,183.709,8.01,1.192505077
sP14,2024/07/29 14:01,113.86405,22.282857,1.3,28.185,20.122,34.33,32082.061,1011.198,11.192,1.33,1.33,1.48,84.49,5.88,183.749,8.01,1.291880187
sP14,2024/07/29 14:01,113.86405,22.282857,1.4,28.183,20.194,34.439,32185.837,1011.253,11.247,1.39,1.39,1.38,84.52,5.88,183.759,8,1.391255248
sP14,2024/07/29 14:01,113.86405,22.282857,1.5,28.173,20.254,34.525,32272.424,1011.301,11.294,1.42,1.42,1.17,84.34,5.866,183.325,8.01,1.490630262
sP14,2024/07/29 14:01,113.86405,22.282857,1.6,28.169,20.212,34.458,32212.122,1011.271,11.264,1.41,1.41,1.38,84.28,5.864,183.272,8.01,1.590005227
sP14,2024/07/29 14:01,113.86405,22.282857,1.7,28.157,20.283,34.561,32315.896,1011.329,11.321,1.29,1.29,1.17,83.21,5.789,180.933,8.01,1.689380143
sP14,2024/07/29 14:01,113.86405,22.282857,1.8,28.16,20.39,34.728,32470.35,1011.408,11.4,1.3,1.3,1.42,83.11,5.779,180.594,8.01,1.788755012
sP14,2024/07/29 14:01,113.86405,22.282857,1.9,28.155,20.546,34.964,32695.003,1011.526,11.518,1.4,1.4,1.6,82.96,5.763,180.096,8.01,1.888129832
sP14,2024/07/29 14:01,113.86405,22.282857,2,28.151,20.568,34.995,32726.882,1011.545,11.536,1.22,1.22,1.66,82.88,5.757,179.927,8.01,1.987504605
sP14,2024/07/29 14:01,113.86405,22.282857,2.1,28.138,20.814,35.367,33082.679,1011.733,11.724,1.14,1.14,1.62,82.82,5.746,179.571,8,2.086879329
sP14,2024/07/29 14:01,113.86405,22.282857,2.2,28.13,20.897,35.488,33201.338,1011.797,11.788,1.16,1.16,1.78,82.61,5.73,179.077,8.01,2.186254004
sP14,2024/07/29 14:01,113.86405,22.282857,2.3,28.123,20.98,35.611,33321.854,1011.862,11.852,1.35,1.35,1.68,82.37,5.711,178.473,8.01,2.285628632
sP14,2024/07/29 14:01,113.86405,22.282857,2.4,28.105,21.105,35.791,33502.169,1011.962,11.951,1.1,1.1,1.69,81.69,5.661,176.928,8.01,2.385003211
sP14,2024/07/29 14:01,113.86405,22.282857,2.5,28.098,21.193,35.921,33628.942,1012.03,12.019,1.03,1.03,1.77,81.35,5.636,176.122,8.01,2.484377742
sP14,2024/07/29 14:01,113.86405,22.282857,2.6,28.079,21.288,36.054,33766.336,1012.107,12.096,1.02,1.02,1.72,80.42,5.57,174.06,8.01,2.583752225
sP14,2024/07/29 14:01,113.86405,22.282857,2.7,28.06,21.25,35.982,33712.536,1012.085,12.073,1.59,1.59,1.65,79.23,5.49,171.572,8.01,2.68312666
sP14,2024/07/29 14:01,113.86405,22.282857,2.8,28.037,21.617,36.527,34240.065,1012.367,12.355,1.05,1.05,2.42,78.14,5.406,168.948,8.01,2.782501046
sP14,2024/07/29 14:01,113.86405,22.282857,2.9,28.025,21.757,36.733,34440.998,1012.475,12.463,1.05,1.05,2.11,77.99,5.393,168.539,8.01,2.881875385
sP14,2024/07/29 14:01,113.86405,22.282857,3,27.996,21.795,36.771,34497.668,1012.513,12.5,1.04,1.04,2.2,77.45,5.356,167.4,8.01,2.981249675
sP14,2024/07/29 14:01,113.86405,22.282857,3.1,27.982,21.804,36.776,34511.769,1012.525,12.512,1.06,1.06,1.99,76.77,5.31,165.944,8,3.080623916
sP14,2024/07/29 14:01,113.86405,22.282857,3.2,27.973,21.812,36.782,34523.458,1012.534,12.52,1.03,1.03,1.93,75.64,5.233,163.531,8.01,3.17999811
sP14,2024/07/29 14:01,113.86405,22.282857,3.3,27.967,21.887,36.892,34630.985,1012.592,12.578,1.08,1.08,1.9,75.18,5.199,162.472,8.01,3.279372255
sP14,2024/07/29 14:01,113.86405,22.282857,3.4,27.95,21.961,36.992,34737.583,1012.653,12.639,1,1,1.87,74.82,5.174,161.693,8.02,3.378746353
sP14,2024/07/29 14:01,113.86405,22.282857,3.5,27.947,21.995,37.042,34786.626,1012.68,12.665,1,1,1.78,74.66,5.162,161.328,8.01,3.478120402
sP14,2024/07/29 14:01,113.86405,22.282857,3.6,27.947,22.006,37.059,34802.262,1012.689,12.673,1.05,1.05,1.86,74.13,5.125,160.151,8.01,3.577494402
sP14,2024/07/29 14:01,113.86405,22.282857,3.7,27.947,22.005,37.057,34801.121,1012.689,12.673,1.28,1.28,1.99,73.69,5.095,159.219,8.01,3.676868355
sP14,2024/07/29 14:01,113.86405,22.282857,3.8,27.948,22.007,37.06,34803.182,1012.69,12.673,1.23,1.23,1.84,72.94,5.043,157.59,8.01,3.776242259
sP14,2024/07/29 14:01,113.86405,22.282857,3.9,27.95,22.014,37.072,34813.128,1012.695,12.678,1.26,1.26,1.71,72.8,5.033,157.293,8.01,3.875616115
sP14,2024/07/29 14:01,113.86405,22.282857,4,27.951,22.014,37.073,34812.921,1012.695,12.678,1.05,1.05,1.77,72.57,5.017,156.788,8.01,3.974989923
sP14,2024/07/29 14:01,113.86405,22.282857,4.1,27.952,22.023,37.088,34826.781,1012.702,12.685,1.01,1.01,1.78,72.51,5.012,156.64,8.01,4.074363683
sP14,2024/07/29 14:01,113.86405,22.282857,4.2,27.954,22.146,37.277,35001.9,1012.794,12.776,1,1,1.72,72.47,5.006,156.434,8.01,4.173737394
sP14,2024/07/29 14:01,113.86405,22.282857,4.3,27.953,22.198,37.356,35077.14,1012.834,12.815,1.05,1.05,1.74,72.39,4.999,156.215,8.01,4.273111058
sP14,2024/07/29 14:01,113.86405,22.282857,4.4,27.953,22.134,37.258,34985.097,1012.786,12.767,1.05,1.05,1.83,72.04,4.977,155.526,8.01,4.372484673
sP14,2024/07/29 14:01,113.86405,22.282857,4.5,27.954,22.192,37.347,35067.81,1012.83,12.81,1,1,1.75,72.01,4.973,155.402,8.02,4.47185824
sP14,2024/07/29 14:01,113.86405,22.282857,4.6,27.961,22.284,37.491,35198.19,1012.896,12.876,1.01,1.01,1.75,71.9,4.962,155.066,8,4.571231758
sP14,2024/07/29 14:01,113.86405,22.282857,4.7,27.958,22.244,37.429,35142.121,1012.868,12.848,1.52,1.52,1.63,71.62,4.944,154.503,8.01,4.670605229
sP14,2024/07/29 14:01,113.86405,22.282857,4.8,27.961,22.311,37.533,35237.562,1012.918,12.897,1.34,1.34,1.83,71.51,4.935,154.22,8.02,4.769978651
sP14,2024/07/29 14:01,113.86405,22.282857,4.9,27.958,22.392,37.653,35352.616,1012.979,12.958,1.08,1.08,1.96,71.45,4.928,154.006,8,4.869352025
sP14,2024/07/29 14:01,113.86405,22.282857,5,27.947,22.532,37.859,35553.889,1013.088,13.066,0.95,0.95,1.8,71.41,4.922,153.837,8,4.968725351
sP14,2024/07/29 14:01,113.86405,22.282857,5.1,27.946,22.542,37.873,35567.403,1013.096,13.074,0.91,0.91,1.75,71.38,4.92,153.761,8.02,5.068098628
sP14,2024/07/29 14:01,113.86405,22.282857,5.2,27.948,22.564,37.908,35598.82,1013.112,13.09,0.9,0.9,1.8,71.09,4.899,153.116,8,5.167471858
sP14,2024/07/29 14:01,113.86405,22.282857,5.3,27.946,22.572,37.919,35610.444,1013.119,13.096,1.54,1.54,1.74,70.93,4.888,152.76,8.02,5.266845039
sP14,2024/07/29 14:01,113.86405,22.282857,5.4,27.942,22.559,37.895,35591.629,1013.111,13.088,1.08,1.08,2.23,70.47,4.858,151.818,8,5.366218172
sP14,2024/07/29 14:01,113.86405,22.282857,5.5,27.944,22.6,37.96,35650.862,1013.142,13.118,0.93,0.93,2,70.41,4.852,151.633,8.01,5.465591256
sP14,2024/07/29 14:01,113.86405,22.282857,5.6,27.938,22.62,37.985,35678.974,1013.159,13.135,1.39,1.39,1.8,70.25,4.841,151.279,8.01,5.564964293
sP14,2024/07/29 14:01,113.86405,22.282857,5.7,27.937,22.594,37.945,35642.135,1013.14,13.116,1.19,1.19,1.6,69.97,4.823,150.72,8.02,5.664337281
sP14,2024/07/29 14:01,113.86405,22.282857,5.8,27.934,22.735,38.157,35843.092,1013.247,13.222,0.91,0.91,1.97,69.89,4.813,150.428,8.01,5.763710221
sP14,2024/07/29 14:01,113.86405,22.282857,5.9,27.924,22.825,38.286,35971.84,1013.318,13.292,1.17,1.17,2,69.82,4.807,150.227,8.01,5.863083113
sP14,2024/07/29 14:01,113.86405,22.282857,6,27.897,23.03,38.577,36265.578,1013.48,13.454,0.89,0.89,2.09,69.81,4.803,150.092,8.01,5.962455957
sP14,2024/07/29 14:01,113.86405,22.282857,6.1,27.877,23.255,38.903,36586.855,1013.655,13.629,0.96,0.96,2.32,69.71,4.792,149.757,8.01,6.061828752
sP14,2024/07/29 14:01,113.86405,22.282857,6.2,27.794,23.906,39.82,37513.612,1014.168,14.141,0.78,0.78,2.82,69.49,4.766,148.96,8.01,6.1612015
sP14,2024/07/29 14:01,113.86405,22.282857,6.3,27.732,24.211,40.229,37948.664,1014.416,14.388,0.74,0.74,3.06,69.25,4.746,148.333,8.02,6.260574199
