obs_ID,date,STG_n,time,hrd_size,area,beau,psd,effort,type,northing,easting,season,boat_assoc,P_or_S,lat_ROK,lon_ROK,hrd_size_ROK
OB0044,2022/07/12,5,1341,5,SW_LANTAU,2,47,ON,HKCRP,806447,803457,SUMMER,NONE,P,22.19629945,113.8586913,5
OB0045,2022/07/12,6,1424,7,SW_LANTAU,3,422,ON,HKCRP,804184,805443,SUMMER,NONE,P,22.17589964,113.8779934,7
OB0046,2022/07/12,7,1454,1,SW_LANTAU,2,960,ON,HKCRP,807273,805428,SUMMER,NONE,P,22.20379494,113.877789,1
OB0047,2022/07/12,8,1514,2,SW_LANTAU,2,1448,ON,HKCRP,806804,807459,SUMMER,NONE,P,22.19959457,113.8974937,2
OB0048,2022/07/13,1,1356,3,W_LANTAU,2,66,ON,HKCRP,809910,799649,SUMMER,NONE,S,22.22749587,113.8216852,3
OB0049,2022/07/13,2,1423,5,W_LANTAU,2,719,ON,HKCRP,806717,801374,SUMMER,NONE,S,22.19869699,113.8384859,5
OB0050,2022/07/13,3,1454,6,W_LANTAU,3,171,ON,HKCRP,805955,800568,SUMMER,NONE,S,22.19179927,113.8306866,6
OB0051,2022/07/13,4,1512,1,SW_LANTAU,2,134,ON,HKCRP,805829,802600,SUMMER,NONE,P,22.1907021,113.8503936,1
OB0052,2022/07/13,5,1518,8,SW_LANTAU,2,673,ON,HKCRP,805462,803042,SUMMER,NONE,P,22.1873964,113.8546872,8
OB0053,2022/07/13,6,1554,2,SW_LANTAU,2,ND,OFF,HKCRP,806934,809325,SUMMER,NONE,,22.20079858,113.9155873,2
OB0054,2022/07/13,7,1603,2,SW_LANTAU,2,ND,OFF,HKCRP,807151,811625,SUMMER,NONE,,22.20279249,113.9378887,2
OB0055,2022/07/13,8,1609,1,SE_LANTAU,2,ND,OFF,HKCRP,807261,812213,SUMMER,NONE,,22.20379413,113.9435894,1
OB0056,2022/07/18,1,1523,4,SW_LANTAU,2,260,ON,HKCRP,806513,803395,SUMMER,NONE,P,22.19689429,113.8580887,4
OB0057,2022/07/27,1,1357,1,W_LANTAU,3,14,ON,HKCRP,810383,801094,SUMMER,NONE,P,22.23179731,113.8356906,1
OB0058,2022/07/27,2,1419,3,W_LANTAU,3,766,ON,HKCRP,809276,800916,SUMMER,NONE,P,22.22179688,113.8339883,3
OB0059,2022/07/27,3,1454,13,W_LANTAU,2,75,ON,HKCRP,806351,801920,SUMMER,NONE,S,22.19540271,113.8437885,13
OB0060,2022/07/27,4,1531,2,SW_LANTAU,2,ND,OFF,HKCRP,805451,803135,SUMMER,NONE,,22.18729885,113.8555892,2
OB0061,2022/07/28,1,1014,2,W_LANTAU,2,477,ON,HKCRP,813623,803173,SUMMER,NONE,S,22.26109728,113.8557897,2
OB0062,2022/07/28,2,1057,3,W_LANTAU,1,ND,OFF,HKCRP,813071,802512,SUMMER,NONE,,22.25609964,113.8493884,3
OB0063,2022/08/01,2,1458,1,SW_LANTAU,2,0,ON,HKCRP,805227,804434,SUMMER,NONE,P,22.18530034,113.8681897,1
OB0064,2022/08/01,3,1512,21,SW_LANTAU,2,77,ON,HKCRP,806491,803539,SUMMER,PURSE-SEINE,S,22.19669834,113.8594856,21
OB0065,2022/08/01,4,1545,1,SW_LANTAU,2,ND,OFF,HKCRP,806407,806808,SUMMER,NONE,,22.19599846,113.8911878,1
OB0066,2022/08/17,1,1313,1,W_LANTAU,2,461,ON,HKCRP,812464,801398,SUMMER,NONE,P,22.25059598,113.8385942,1
OB0067,2022/08/17,2,1355,8,W_LANTAU,3,143,ON,HKCRP,809421,800494,SUMMER,PURSE-SEINE,P,22.22309763,113.8298921,8
OB0068,2022/08/17,3,1505,4,SW_LANTAU,3,ND,OFF,HKCRP,806083,802672,SUMMER,NONE,,22.19299726,113.8510865,4
OB0069,2022/08/22,1,1412,1,W_LANTAU,3,30,ON,HKCRP,810917,800085,SUMMER,NONE,S,22.23659878,113.8258915,1
OB0070,2022/08/22,2,1432,4,W_LANTAU,2,21,ON,HKCRP,809409,801164,SUMMER,NONE,S,22.22300299,113.8363908,4
OB0071,2022/08/22,3,1503,4,W_LANTAU,2,481,ON,HKCRP,806363,801157,SUMMER,NONE,P,22.19549578,113.8363893,4
OB0072,2022/08/23,1,1321,4,W_LANTAU,2,580,ON,HKCRP,813547,802524,SUMMER,NONE,P,22.2603984,113.8494949,4
OB0073,2022/08/23,2,1403,4,W_LANTAU,2,7,ON,HKCRP,808833,800946,SUMMER,NONE,S,22.21779696,113.834289,4
OB0074,2022/08/23,3,1428,2,W_LANTAU,1,265,ON,HKCRP,808460,799368,SUMMER,NONE,P,Coordinates out of range,,2
OB0075,2022/08/23,4,1447,4,W_LANTAU,1,519,ON,HKCRP,806061,802559,SUMMER,NONE,P,22.1927964,113.8499912,4
OB0076,2022/08/30,1,1325,8,W_LANTAU,3,374,ON,HKCRP,812009,801881,SUMMER,NONE,S,22.24649678,113.8432896,8
OB0077,2022/08/30,2,1356,1,W_LANTAU,3,72,ON,HKCRP,806295,801992,SUMMER,NONE,S,22.19489843,113.8444879,1
OB0078,2022/09/22,1,1327,3,W_LANTAU,3,51,ON,HKCRP,808435,800729,AUTUMN,NONE,P,22.21419836,113.8321932,3
OB0079,2022/09/23,1,1051,2,W_LANTAU,2,ND,OFF,HKCRP,813535,802915,AUTUMN,NONE,,22.26029763,113.8532885,2
OB0080,2022/09/23,2,1059,2,W_LANTAU,2,147,ON,HKCRP,813580,802761,AUTUMN,NONE,P,22.26070102,113.8517935,2
OB0081,2022/09/23,3,1132,5,W_LANTAU,2,457,ON,HKCRP,811477,802416,AUTUMN,NONE,S,22.24170311,113.8484907,5
OB0082,2022/09/23,4,1214,1,W_LANTAU,2,39,ON,HKCRP,809444,800401,AUTUMN,NONE,P,22.22330341,113.8289896,1
OB0083,2022/09/23,5,1224,5,W_LANTAU,2,117,ON,HKCRP,809434,799659,AUTUMN,NONE,P,22.22319756,113.821793,5
OB0084,2022/09/23,6,1238,3,W_LANTAU,2,211,ON,HKCRP,808324,800893,AUTUMN,NONE,P,22.21319933,113.8337862,3
OB0085,2022/09/23,7,1304,3,W_LANTAU,2,68,ON,HKCRP,806864,799972,AUTUMN,NONE,S,22.19999566,113.8248868,3
OB0086,2022/09/23,8,1407,1,W_LANTAU,2,25,ON,HKCRP,807287,809821,AUTUMN,NONE,S,22.20399404,113.9203916,1
OB0087,2022/09/30,1,1030,3,W_LANTAU,2,129,ON,HKCRP,811136,801374,AUTUMN,NONE,S,22.23860297,113.8383902,3
OB0088,2022/09/30,2,1140,1,W_LANTAU,2,ND,OFF,HKCRP,808390,801017,AUTUMN,NONE,,22.21379788,113.8349873,1
OB0089,2022/09/30,3,1238,1,W_LANTAU,1,ND,OFF,HKCRP,810430,800166,AUTUMN,NONE,,22.23220262,113.8266882,1
OB0090,2022/10/03,1,1438,1,W_LANTAU,3,84,ON,HKCRP,807197,799787,AUTUMN,NONE,S,22.20299895,113.8230852,1
OB0091,2022/10/03,2,1506,9,W_LANTAU,2,772,ON,HKCRP,810199,799485,AUTUMN,NONE,P,Coordinates out of range,,9
OB0092,2022/10/05,1,1042,7,W_LANTAU,3,213,ON,HKCRP,808712,800832,AUTUMN,NONE,S,22.21670194,113.833186,7
OB0093,2022/10/05,2,1138,4,W_LANTAU,3,70,ON,HKCRP,809423,799648,AUTUMN,NONE,S,22.22309799,113.8216866,4
OB0094,2022/10/05,3,1202,4,W_LANTAU,2,261,ON,HKCRP,810375,799795,AUTUMN,NONE,S,22.23169815,113.8230908,4
OB0095,2022/10/05,4,1212,3,W_LANTAU,2,132,ON,HKCRP,810472,800836,AUTUMN,NONE,P,22.23259576,113.8331861,3
OB0096,2022/10/05,5,1244,2,W_LANTAU,2,1900,ON,HKCRP,813273,801317,AUTUMN,NONE,S,22.25790003,113.8377908,2
